cycle,trajectory,policy,mean_proposals,exact_best,within_001,no_passing
13,0,fixed32,32.0,0.5095,0.5095,0.0005
13,0,adaptive16,64.0,1.0,1.0,0.0
13,0,adaptive32,64.0,1.0,1.0,0.0
13,0,fixed64,64.0,1.0,1.0,0.0
13,3,fixed16,16.0,0.2595,0.2595,0.0
13,3,fixed32,32.0,0.519,0.519,0.0
13,3,adaptive16,64.0,1.0,1.0,0.0
13,3,adaptive32,64.0,1.0,1.0,0.0
13,3,fixed64,64.0,1.0,1.0,0.0
13,4,fixed16,16.0,0.2485,0.4405,0.0
13,4,fixed32,32.0,0.4895,0.748,0.0
13,4,adaptive16,64.0,1.0,1.0,0.0
13,4,adaptive32,64.0,1.0,1.0,0.0
13,4,fixed64,64.0,1.0,1.0,0.0
13,5,fixed16,16.0,0.257,0.454,0.0
13,5,fixed32,32.0,0.4975,0.7625,0.0
13,5,adaptive16,43.968,1.0,1.0,0.0
13,5,adaptive32,48.08,1.0,1.0,0.0
13,5,fixed64,64.0,1.0,1.0,0.0
14,3,fixed16,16.0,0.242,0.242,0.0265
14,3,fixed32,32.0,0.4905,0.4905,0.0
14,3,adaptive16,64.0,1.0,1.0,0.0
14,3,adaptive32,64.0,1.0,1.0,0.0
14,3,fixed64,64.0,1.0,1.0,0.0
14,4,fixed16,16.0,0.245,0.245,0.0
14,4,fixed32,32.0,0.4885,0.4885,0.0
14,4,adaptive16,64.0,1.0,1.0,0.0
14,4,adaptive32,64.0,1.0,1.0,0.0
14,4,fixed64,64.0,1.0,1.0,0.0
14,5,fixed16,16.0,0.258,0.4665,0.0
14,5,fixed32,32.0,0.4935,0.764,0.0
14,5,adaptive16,64.0,1.0,1.0,0.0
14,5,adaptive32,64.0,1.0,1.0,0.0
14,5,fixed64,64.0,1.0,1.0,0.0
15,3,fixed16,16.0,0.2355,0.2355,0.0055
15,3,fixed32,32.0,0.482,0.482,0.0
15,3,adaptive16,64.0,1.0,1.0,0.0
15,3,adaptive32,64.0,1.0,1.0,0.0
15,3,fixed64,64.0,1.0,1.0,0.0
15,5,fixed16,16.0,0.2525,0.6045,0.0
15,5,fixed32,32.0,0.5105,0.8885,0.0
15,5,adaptive16,64.0,1.0,1.0,0.0
15,5,adaptive32,64.0,1.0,1.0,0.0
15,5,fixed64,64.0,1.0,1.0,0.0
16,3,fixed16,16.0,0.245,0.245,0.046
16,3,fixed32,32.0,0.4885,0.4885,0.0005
16,3,adaptive16,64.0,1.0,1.0,0.0
16,3,adaptive32,64.0,1.0,1.0,0.0
16,3,fixed64,64.0,1.0,1.0,0.0
16,5,fixed16,16.0,0.252,0.4295,0.0
16,5,fixed32,32.0,0.492,0.7385,0.0
16,5,adaptive16,64.0,1.0,1.0,0.0
16,5,adaptive32,64.0,1.0,1.0,0.0
16,5,fixed64,64.0,1.0,1.0,0.0
17,3,fixed16,16.0,0.247,0.247,0.0145
17,3,fixed32,32.0,0.4985,0.4985,0.0
17,3,adaptive16,64.0,1.0,1.0,0.0
17,3,adaptive32,64.0,1.0,1.0,0.0
17,3,fixed64,64.0,1.0,1.0,0.0
17,5,fixed16,16.0,0.2425,0.2425,0.0
17,5,fixed32,32.0,0.4985,0.4985,0.0
17,5,adaptive16,64.0,1.0,1.0,0.0
17,5,adaptive32,64.0,1.0,1.0,0.0
17,5,fixed64,64.0,1.0,1.0,0.0
18,3,fixed16,16.0,0.2535,0.2535,0.001
18,3,fixed32,32.0,0.494,0.494,0.0
18,3,adaptive16,64.0,1.0,1.0,0.0
18,3,adaptive32,64.0,1.0,1.0,0.0
18,3,fixed64,64.0,1.0,1.0,0.0
18,5,fixed16,16.0,0.2505,0.4385,0.0
18,5,fixed32,32.0,0.496,0.7485,0.0
18,5,adaptive16,64.0,1.0,1.0,0.0
18,5,adaptive32,64.0,1.0,1.0,0.0
18,5,fixed64,64.0,1.0,1.0,0.0
19,5,fixed16,16.0,0.2415,0.4285,0.0
19,5,fixed32,32.0,0.491,0.7465,0.0
19,5,adaptive16,64.0,1.0,1.0,0.0
19,5,adaptive32,64.0,1.0,1.0,0.0
19,5,fixed64,64.0,1.0,1.0,0.0
20,5,fixed16,16.0,0.2525,0.2525,0.0
20,5,fixed32,32.0,0.504,0.504,0.0
20,5,adaptive16,64.0,1.0,1.0,0.0
20,5,adaptive32,64.0,1.0,1.0,0.0
20,5,fixed64,64.0,1.0,1.0,0.0
21,5,fixed16,16.0,0.259,0.788,0.0
21,5,fixed32,32.0,0.495,0.973,0.0
21,5,adaptive16,64.0,1.0,1.0,0.0
21,5,adaptive32,64.0,1.0,1.0,0.0
21,5,fixed64,64.0,1.0,1.0,0.0
