cycle,trajectory,folds,scored,passing,missing_affinity,prior_best,best_score,best_name,improvement,best_ligand_plddt,best_pbind,q10,q25,median,q75,q90,q95,all_q10,all_median,all_q90,gap_to_median,gap_to_second,within_001,improve_001,final_filter_count,advanced_name,advanced_score,advanced_rank_all,advanced_percentile_all,best_so_far
5,3,64,49,8,15,1.5612151058996875,1.4880406349459,c05_t3_n0_s22,-0.07317447095378737,94.43290322580646,0.5437116026878357,1.3558533664352663,1.4015836412952793,1.4472129219224374,1.476023037748183,1.4852581815359667,1.4866494082409334,1.0852266429002824,1.4459479884393756,1.5168141841451583,0.040827713023462664,0.0039749334427618965,2,0,0,c05_t3_n0_s22,1.4880406349459,14,73.46938775510205,1.5612151058996875
5,4,64,58,35,6,1.9336003864903606,1.9547094291440903,c05_t4_n0_s48,0.021109042653729704,97.43741935483871,0.9803352355957031,1.487113036574087,1.6019161638982835,1.7630885475250984,1.8831858636717642,1.9235694770419214,1.9346023151253118,1.2738755464686118,1.6843866925731783,1.9136796762989412,0.19162088161899193,0.00837650318145755,2,2,15,c05_t4_n0_s48,1.9547094291440903,1,100.0,1.9547094291440903
5,5,64,55,22,9,1.9337979866643105,1.943246054784713,c05_t5_n0_s3,0.009448068120402553,97.01419354838708,0.9731041193008423,1.6851962987112232,1.7246717615804363,1.7685674908514946,1.8533998383537416,1.8856158385455222,1.9141729791676612,1.1593960868484743,1.7137081364416307,1.8698897367385128,0.17467856393321846,0.02766921362415431,1,0,14,c05_t5_n0_s3,1.943246054784713,1,100.0,1.943246054784713
6,0,64,64,21,0,1.6254491029370217,1.617116794629251,c06_t0_n0_s47,-0.008332308307770653,94.25451612903228,0.6745716333389282,1.2996397606326688,1.4864964342578761,1.5120225705669772,1.555361156623594,1.5960026496210409,1.6018738625803302,0.8906568795419508,1.2263852742502768,1.5529353354743218,0.10509422406227387,0.01524293204892091,1,0,0,c06_t0_n0_s47,1.617116794629251,1,100.0,1.6254491029370217
6,1,64,64,32,0,1.8776192630583242,1.6781401414625106,c06_t1_n0_s2,-0.1994791215958136,94.94741935483871,0.7286659479141235,1.3891914536426915,1.5354428144501102,1.573669731167824,1.6033387435143993,1.6360672247806671,1.6574090481192065,1.0342763278115181,1.5064206051365021,1.6075666582070627,0.10447041029468651,0.008286260549483782,2,0,0,c06_t1_n0_s2,1.6781401414625106,1,100.0,1.8776192630583242
6,2,64,64,17,0,1.6004366985444096,1.5582751213473658,c06_t2_n0_s41,-0.04216157719704383,92.61419354838709,0.6321331858634949,1.2440969487097957,1.4077075205956735,1.4678796519925517,1.5046865311468802,1.5525566276045768,1.5546754675939005,0.8975011633276171,1.152358762267328,1.5029634430633054,0.09039546935481413,0.004499567191831533,3,0,0,c06_t2_n0_s41,1.5582751213473658,3,96.875,1.6004366985444096
6,3,64,64,24,0,1.5612151058996875,1.6190845613787253,c06_t3_n0_s26,0.05786945547903777,91.30322580645164,0.706052303314209,1.2316527699113662,1.3651839133285706,1.4135724834365229,1.462392049841727,1.5221963903867044,1.5445400816505184,1.140070727671654,1.3898276252023636,1.5219312586224465,0.2055120779422024,0.0708059983284246,1,1,0,c06_t3_n0_s26,1.6190845613787253,1,100.0,1.6190845613787253
6,4,64,64,34,0,1.9547094291440903,1.9614845879647045,c06_t4_n0_s11,0.006775158820614191,96.83096774193552,0.9931749105453491,1.5006398676223138,1.6048609212260094,1.8060433377512042,1.9052863177176445,1.9454837569938168,1.9508474754430403,1.3908003386306764,1.7297945652008055,1.924784314830534,0.1554412502135003,0.009532407594496695,2,0,18,c06_t4_n0_s11,1.9614845879647045,1,100.0,1.9614845879647045
6,5,64,64,21,0,1.943246054784713,1.9114851011245482,c06_t5_n0_s15,-0.03176095366016485,96.63967741935485,0.9450883269309998,1.4899098663391606,1.6722956570717598,1.7408990352507558,1.831194632204117,1.8817302015489148,1.893787260172444,1.0011848346925551,1.6246880843408649,1.8824976644802094,0.17058606587379233,0.01769784095210425,1,0,9,c06_t5_n0_s15,1.9114851011245482,3,96.875,1.943246054784713
7,0,64,64,29,0,1.6254491029370217,1.6533825864022778,c07_t0_n0_s26,0.027933483465256037,93.64193548387097,0.7169632315635681,1.240766017519428,1.3849758208397893,1.524076128895052,1.5626235620990876,1.596993141860962,1.630228274159585,0.9879443805273118,1.3999472777781947,1.588968540726631,0.1293064575072258,0.016333013266901952,1,2,0,c07_t0_n0_s26,1.6533825864022778,2,98.4375,1.6533825864022778
7,1,64,64,32,0,1.8776192630583242,1.6647809399635562,c07_t1_n0_s61,-0.2128383230947679,95.14032258064518,0.7133777141571045,1.3750404213625387,1.5224134687677504,1.5810435596912136,1.6184237823455563,1.6487686553272123,1.6519885982018132,1.0971571187234692,1.4702682779788971,1.6296374901710016,0.08373738027234268,0.010774691643253842,1,0,0,c07_t1_n0_s61,1.6647809399635562,2,98.4375,1.8776192630583242
7,2,64,64,17,0,1.6004366985444096,1.5886839098407375,c07_t2_n0_s24,-0.011752788703672135,92.19451612903225,0.666738748550415,1.0545642978342118,1.1232147075222385,1.2788582588318858,1.4721949002235166,1.5705908130215058,1.574516054586595,0.946695901418809,1.144108682106387,1.4692989565030992,0.30982565100885173,0.0177098190676781,1,0,0,,,,,1.6004366985444096
7,3,64,64,21,0,1.6190845613787253,1.6386043000621182,c07_t3_n0_s51,0.019519738683392962,92.00419354838712,0.7185623645782471,1.2390137986921494,1.351597280834567,1.4508114215297083,1.491220197225386,1.5255970154208525,1.5776385074061734,1.0512314619322747,1.4111994057839916,1.5333327637367864,0.1877928785324099,0.06096579265594482,1,1,0,c07_t3_n0_s51,1.6386043000621182,1,100.0,1.6386043000621182
7,4,64,64,36,0,1.9614845879647045,1.945400736685722,c07_t4_n0_s10,-0.016083851278982486,97.28709677419354,0.9725297689437866,1.4502925237363384,1.6549138351055885,1.826920854414663,1.8678246945519603,1.918837684259107,1.9403246481326317,1.3616246538076093,1.7466640292582973,1.8989941371151708,0.1184798822710591,0.0010596190360283586,3,0,16,c07_t4_n0_s10,1.945400736685722,1,100.0,1.9614845879647045
7,5,64,64,36,0,1.943246054784713,1.8799323160971366,c07_t5_n0_s19,-0.06331373868757639,96.0783870967742,0.9191484451293945,1.3979671387087915,1.6022791806097954,1.7000885910895565,1.7606066391921813,1.8343532697170013,1.8534166810612525,1.1045932571343453,1.629816018655223,1.7821443191712902,0.17984372500758017,0.016608657787692493,1,0,11,c07_t5_n0_s19,1.8799323160971366,1,100.0,1.943246054784713
8,0,64,64,55,0,1.6533825864022778,1.7214562675906766,c08_t0_n0_s26,0.06807368118839885,94.47451612903227,0.776711106300354,1.4553567232088889,1.4947937974745227,1.5460542055191533,1.5886651865251602,1.634180726872721,1.6486939531077107,1.2939949163252307,1.5284015114168967,1.628151673614748,0.1754020620715233,0.06279598225624339,1,1,0,c08_t0_n0_s26,1.7214562675906766,1,100.0,1.7214562675906766
8,1,64,64,42,0,1.8776192630583242,1.7573915256500243,c08_t1_n0_s4,-0.12022773740829984,94.63999999999999,0.8109915256500244,1.5133044473764974,1.5689170689282876,1.5979662079134296,1.6166513153522244,1.6839023972566667,1.7394079493987173,1.3228317158662122,1.581508075787944,1.6726271495643739,0.15942531773659474,0.005739152794499658,2,0,1,,,,,1.8776192630583242
8,3,64,64,17,0,1.6386043000621182,1.6628375882456379,c08_t3_n0_s57,0.024233288183519663,90.69322580645161,0.7559053301811218,1.1848677208795855,1.2915551085441344,1.3197742208911525,1.5093038698104118,1.6213517147261098,1.6484701205598156,0.9997526866780558,1.3167940927720836,1.6113015013057954,0.3430633673544854,0.017959334607277944,1,1,0,c08_t3_n0_s57,1.6628375882456379,2,98.4375,1.6628375882456379
8,4,64,64,43,0,1.9614845879647045,1.9486974794110945,c08_t4_n0_s3,-0.012787108553609983,97.31709677419354,0.9755265116691589,1.5556422039339624,1.6535351933971527,1.7905165462616952,1.86061172911121,1.8925467643424005,1.910793894946191,1.4387165862320315,1.7135832213155684,1.8923716942208815,0.1581809331493993,0.03295668510006333,1,0,18,c08_t4_n0_s3,1.9486974794110945,2,98.4375,1.9614845879647045
8,5,64,64,43,0,1.943246054784713,1.9100194388420348,c08_t5_n0_s51,-0.03322661594267817,95.31032258064515,0.9569162130355835,1.563753225525887,1.6643286777004118,1.7330081883276662,1.7993194034453361,1.8679268248404228,1.8787797811646616,1.0351566938469487,1.6866771609967754,1.8324650244638996,0.1770112505143686,0.0025229069617480615,2,0,21,c08_t5_n0_s51,1.9100194388420348,1,100.0,1.943246054784713
9,0,64,64,46,0,1.7214562675906766,1.70115035854155,c09_t0_n0_s6,-0.020305909049126658,94.3358064516129,0.7577922940254211,1.4178639670748865,1.4648466625967331,1.4944015476965133,1.5306773745482969,1.55648274417385,1.6175815686625818,1.113562289987995,1.4832818691284428,1.5551312823077172,0.2067488108450366,0.04881711354717111,1,0,0,c09_t0_n0_s6,1.70115035854155,1,100.0,1.7214562675906766
9,3,64,64,16,0,1.6628375882456379,1.7841403558177333,c09_t3_n0_s40,0.12130276757209546,94.52419354838712,0.8388984203338623,1.4492776893800305,1.491253669091194,1.622057140270356,1.682161916699717,1.7629394952143393,1.7697201197954917,1.0397034393913513,1.397400724411011,1.7512647240835622,0.16208321554737726,0.019226981362988838,1,4,1,c09_t3_n0_s40,1.7841403558177333,4,95.3125,1.7841403558177333
9,4,64,64,39,0,1.9614845879647045,1.968279180508275,c09_t4_n0_s36,0.006794592543570621,97.99806451612902,0.9882985353469849,1.509149188376396,1.6555846812694304,1.7615748846023318,1.8768642555821327,1.9357748999940194,1.9549375009967438,1.1621304352772621,1.6555846812694304,1.917015887931393,0.2067042959059433,0.0070053098370950195,2,0,19,c09_t4_n0_s36,1.968279180508275,1,100.0,1.968279180508275
9,5,64,64,47,0,1.943246054784713,1.9256687075215002,c09_t5_n0_s26,-0.017577347263212806,96.06580645161291,0.9650106430053711,1.4020080804240318,1.6125972700626616,1.7104472483542656,1.7768337427846848,1.8143140857635007,1.8773124339331348,1.2157410059756617,1.685448899099904,1.808059954938581,0.21522145916723456,0.027496751126935726,1,0,17,c09_t5_n0_s26,1.9256687075215002,1,100.0,1.943246054784713
10,0,64,64,46,0,1.7214562675906766,1.7072687000582292,c10_t0_n0_s52,-0.014187567532447432,92.9432258064516,0.7778364419937134,1.294884903424786,1.4250834547300493,1.4907902890097708,1.5616053547651536,1.5934178052702257,1.6256637711086581,1.031675238450881,1.452777380138828,1.5870001286725073,0.21647841104845833,0.04171483757880434,1,0,0,c10_t0_n0_s52,1.7072687000582292,1,100.0,1.7214562675906766
10,3,64,64,19,0,1.7841403558177333,1.9371216810226441,c10_t3_n0_s43,0.1529813252049108,96.88000000000001,0.968321681022644,1.3832669225505092,1.542987215166707,1.6549113481090916,1.80601750890055,1.8339724898061445,1.8524049642605933,1.0945830797715341,1.5247357425689696,1.793271574380936,0.2822103329135526,0.09412968529116728,1,6,3,c10_t3_n0_s43,1.9371216810226441,1,100.0,1.9371216810226441
10,4,64,64,49,0,1.968279180508275,1.9602559128422894,c10_t4_n0_s23,-0.008023267665985712,97.90645161290324,0.9811913967132568,1.5222829937079645,1.7589980917346093,1.8914623706694575,1.9314314392028318,1.9401329288630331,1.942735939868804,1.2771970293404977,1.8553647213705124,1.9389921147574147,0.06879354217283185,0.0028922319535289454,2,0,31,c10_t4_n0_s23,1.9602559128422894,1,100.0,1.968279180508275
