cycle,trajectory,threshold,replicates,mean_proposals,p_stop16,p_stop32,p_exact_best,p_within_001,mean_score_loss,p_no_passing,p_loss_over_001,prefix_proposals,prefix_score_loss
7,3,0.005,2000,43.168,0.268,0.249,1.0,1.0,0.0,0.0,0.0,64,0.0
7,3,0.01,2000,43.168,0.268,0.249,1.0,1.0,0.0,0.0,0.0,64,0.0
7,4,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,4,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,4,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,4,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,5,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,5,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,5,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
7,5,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
8,0,0.0001,2000,26.96,0.574,0.2965,0.5135,0.5135,0.03113922260100921,0.0,0.4865,16,0.06279598225624339
8,0,0.001,2000,26.96,0.574,0.2965,0.5135,0.5135,0.03113922260100921,0.0,0.4865,16,0.06279598225624339
8,0,0.005,2000,33.48,0.4245,0.317,0.695,0.695,0.019152774588154235,0.0,0.305,16,0.06279598225624339
8,0,0.01,2000,44.304,0.238,0.2585,1.0,1.0,0.0,0.0,0.0,32,0.0
8,1,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
8,1,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
8,1,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
8,1,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
8,3,0.0001,2000,33.008,0.436,0.3145,0.6685,0.6685,0.005953519422312638,0.0,0.3315,16,0.017959334607277944
8,3,0.001,2000,33.008,0.436,0.3145,0.6685,0.6685,0.005953519422312638,0.0,0.3315,16,0.017959334607277944
8,3,0.005,2000,33.008,0.436,0.3145,0.6685,0.6685,0.005953519422312638,0.0,0.3315,16,0.017959334607277944
8,3,0.01,2000,44.696,0.2385,0.2455,1.0,1.0,0.0,0.0,0.0,64,0.0
8,4,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
8,4,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
8,4,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
8,4,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
8,5,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
8,5,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
8,5,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
8,5,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
9,0,0.0001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
9,0,0.001,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
9,0,0.005,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
9,0,0.01,2000,64.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,64,0.0
9,3,0.0001,2000,20.904,0.7555,0.2135,0.361,0.361,0.028851753558863387,0.0,0.639,16,0.1143546276123295
9,3,0.001,2000,20.904,0.7555,0.2135,0.361,0.361,0.028851753558863387,0.0,0.639,16,0.1143546276123295
9,3,0.005,2000,20.904,0.7555,0.2135,0.361,0.361,0.028851753558863387,0.0,0.639,16,0.1143546276123295
9,3,0.01,2000,23.248,0.665,0.276,0.423,0.423,0.018106445544259782,0.0,0.577,64,0.0
9,4,0.0001,2000,44.296,0.2525,0.237,1.0,1.0,0.0,0.0,0.0,64,0.0
